,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
101,DerMarr Johnson,8.4,11.3,0.0,1.7,0.0,0.048,-3.3,-0.9,-0.4,0.5,4.8,0.218,8.5,2000
102,Chris Mihm,12.6,10.0,1.3,0.7,0.053,0.019,-5.0,-6.1,-0.9,-1.7,7.7,0.302,9.61,2000
103,Jamal Crawford,8.5,15.3,-0.9,0.6,-0.043,0.055,-6.3,-2.2,-1.1,0.0,0.9,0.065,9.27,2000
104,Joel Przybilla,5.9,10.2,0.1,1.9,0.018000000000000002,0.079,-3.9,-1.3,-0.1,0.2,3.2,0.19899999999999998,9.62,2000
105,Keyon Dooling,12.6,7.4,1.4,0.0,0.055999999999999994,-0.01,-3.4,-7.9,-0.4,-0.2,3.3,0.135,8.22,2000
106,Jerome Moiso,3.2,5.9,-0.3,-0.1,-0.096,-0.04,-11.9,-7.1,-0.3,-0.1,3.8,0.158,10.11,2000
107,Etan Thomas,15.7,15.8,1.6,1.3,0.127,0.125,-2.9,-5.6,-0.1,-0.5,7.4,0.314,6.2,2000
109,Mateen Cleaves,9.0,8.8,-0.1,-0.3,-0.006,-0.08199999999999999,-5.2,-9.8,-1.0,-0.3,3.2,0.155,9.91,2000
111,Desmond Mason,10.5,13.4,1.7,4.7,0.055,0.09300000000000001,-3.0,-1.6,-0.4,0.3,7.5,0.25,6.59,2000
112,Quentin Richardson,16.5,17.4,3.0,5.6,0.106,0.125,-0.3,1.4,0.6,1.8,5.0,0.172,7.83,2000
113,Jamaal Magloire,13.4,18.8,2.6,5.7,0.114,0.177,-2.8,-1.3,-0.2,0.3,5.6,0.228,12.71,2000
114,Speedy Claxton,12.6,15.9,2.8,1.2,0.087,0.125,-0.7,0.0,0.5,0.2,7.0,0.258,-6.03,2000
115,Morris Peterson,14.1,15.3,3.6,4.9,0.096,0.11900000000000001,-0.1,1.2,0.8,1.6,7.4,0.262,9.91,2000
116,Donnell Harvey,9.8,14.1,0.1,1.8,0.039,0.105,-5.2,-1.0,-0.1,0.2,4.0,0.21600000000000003,8.51,2000
117,Mamadou N'Diaye,6.6,20.6,0.0,0.3,0.083,0.265,-13.6,-4.4,0.0,0.0,7.3,0.32299999999999995,8.2,2000
118,Erick Barkley,10.3,9.8,-0.1,0.2,-0.075,0.044000000000000004,-7.0,-3.3,0.0,-0.1,1.7,0.067,6.96,2000
119,Mark Madsen,9.2,12.7,1.1,1.9,0.085,0.142,-2.8,0.6,-0.1,0.4,4.2,0.26899999999999996,7.12,2000
120,Jason Richardson,13.8,14.8,2.9,3.7,0.052000000000000005,0.066,-0.5,-0.4,1.0,1.1,6.3,0.268,9.54,2001
121,Shane Battier,13.9,15.0,4.8,6.2,0.07400000000000001,0.126,1.9,3.6,3.0,3.4,10.1,0.298,11.97,2001
122,Eddie Griffin,13.8,15.4,2.4,3.9,0.061,0.1,-2.0,0.4,0.0,1.1,4.6,0.18899999999999997,6.03,2001
123,Rodney White,11.0,9.8,-0.2,-0.4,-0.055999999999999994,-0.011000000000000001,-6.6,-4.4,-0.2,-1.0,4.4,0.20199999999999999,7.91,2001
124,Joe Johnson,11.8,12.0,3.0,2.0,0.075,0.094,-1.1,-1.3,0.4,0.2,4.1,0.18600000000000003,6.16,2001
125,Kedrick Brown,11.9,8.8,0.4,0.5,0.075,0.037000000000000005,-1.2,-4.4,0.1,-0.4,4.1,0.18600000000000003,6.16,2001
126,Richard Jefferson,13.4,16.6,4.7,9.9,0.11699999999999999,0.16399999999999998,-0.4,1.9,0.8,2.9,4.4,0.182,12.56,2001
127,Troy Murphy,10.3,15.9,1.4,6.4,0.046,0.122,-4.1,-0.7,-0.8,0.8,5.5,0.20199999999999999,5.68,2001
128,Steven Hunter,12.9,13.4,1.0,0.9,0.094,0.099,-4.9,-2.3,-0.4,0.0,3.5,0.17300000000000001,8.02,2001
129,Kirk Haston,4.0,-9.1,-0.2,-0.4,-0.11599999999999999,-0.307,-12.1,-15.4,-0.2,-0.2,4.3,0.16699999999999998,11.05,2001
131,Jason Collins,10.7,9.9,3.0,4.7,0.10400000000000001,0.11900000000000001,-0.9,-0.6,0.4,0.7,7.5,0.336,9.86,2001
132,Zach Randolph,16.9,19.9,0.5,4.8,0.098,0.177,-3.4,-1.1,-0.1,0.3,5.1,0.315,9.54,2001
133,Brendan Haywood,13.7,13.5,3.1,5.0,0.11599999999999999,0.125,0.6,-0.1,0.8,0.9,5.4,0.23800000000000002,11.77,2001
134,Joseph Forte,2.8,3.4,-0.1,-0.3,-0.14400000000000002,-0.17600000000000002,-9.9,-10.2,-0.1,-0.2,4.8,0.168,11.77,2001
135,Jeryl Sasser,7.0,8.3,-0.1,0.8,-0.07,0.036000000000000004,-7.8,-2.7,-0.1,-0.2,2.9,0.114,3.95,2001
136,Brandon Armstrong,3.8,3.9,-0.2,-0.1,-0.054000000000000006,-0.05,-8.7,-9.5,-0.3,-0.1,4.8,0.18600000000000003,1.77,2001
137,Gerald Wallace,13.3,12.5,0.6,0.9,0.071,0.07400000000000001,-2.6,-3.3,-0.1,-0.2,3.5,0.168,6.27,2001
138,Samuel Dalembert,13.2,16.1,0.3,6.9,0.07200000000000001,0.151,-3.5,0.1,-0.1,1.2,2.9,0.184,6.03,2001
139,Jamaal Tinsley,13.4,13.4,1.7,3.7,0.033,0.079,-0.5,-0.3,0.9,1.0,4.0,0.159,4.87,2001
140,Mike Dunleavy,12.5,15.1,1.5,5.2,0.055,0.107,-1.3,1.8,0.2,2.2,7.2,0.253,9.16,2002
141,Drew Gooden,15.0,13.8,1.7,0.4,0.043,0.015,-3.3,-3.6,-0.6,-0.5,6.6,0.235,9.35,2002
142,Dajuan Wagner,10.9,8.6,0.3,-0.1,0.011000000000000001,-0.008,-5.2,-5.7,-1.1,-0.7,4.1,0.14300000000000002,4.72,2002
143,Chris Wilcox,12.5,15.3,0.6,2.6,0.062,0.094,-4.0,-2.1,-0.2,0.0,4.0,0.18600000000000003,9.38,2002
144,Caron Butler,15.1,10.7,5.1,2.1,0.086,0.05,1.7,-2.1,2.7,-0.1,5.7,0.188,7.43,2002
145,Jared Jeffries,11.1,8.7,0.3,0.6,0.049,0.013999999999999999,-2.4,-3.5,0.0,-0.7,5.0,0.17,12.08,2002
146,Melvin Ely,10.8,11.1,0.8,0.4,0.048,0.039,-4.4,-3.7,-0.5,-0.2,6.7,0.27,5.2,2002
147,Marcus Haislip,9.6,14.6,0.0,0.6,-0.003,0.113,-7.2,-2.4,-0.6,0.0,3.5,0.16699999999999998,10.93,2002
148,Fred Jones,5.5,11.8,0.0,4.0,0.019,0.126,-3.7,-0.1,0.0,0.7,6.6,0.23800000000000002,6.93,2002
149,Juan Dixon,11.0,13.5,0.1,1.4,0.005,0.044000000000000004,-4.7,-2.6,-0.4,-0.2,6.8,0.225,9.38,2002
150,Curtis Borchardt,7.9,9.4,0.1,0.8,0.026000000000000002,0.046,-3.2,-2.2,-0.1,0.0,6.9,0.308,9.03,2002
152,Kareem Rush,5.8,10.4,-0.6,1.5,-0.033,0.055999999999999994,-7.2,-3.0,-1.1,-0.3,4.7,0.16399999999999998,6.81,2002
153,Qyntel Woods,11.2,9.4,0.2,-0.2,0.034,-0.012,-5.0,-5.3,-0.3,-0.6,4.7,0.16399999999999998,6.81,2002
154,Casey Jacobsen,9.2,9.6,1.2,2.6,0.051,0.068,-2.7,-1.3,-0.2,0.3,4.4,0.16699999999999998,9.03,2002
155,Tayshaun Prince,11.7,13.3,0.8,7.5,0.084,0.134,-2.0,2.1,0.0,2.8,5.7,0.212,11.99,2002
156,Frank Williams,6.4,10.7,-0.1,0.3,-0.035,0.023,-5.9,-4.6,-0.2,-0.5,3.8,0.135,9.94,2002
157,John Salmons,9.5,10.6,0.6,2.1,0.057999999999999996,0.064,-3.0,-1.2,-0.1,0.3,4.9,0.182,5.52,2002
