Kirk Haston,4.0,-9.1,-0.2,-0.4,-0.116,-0.307,-12.1,-15.4,-0.2,-0.2
Michael Bradley,9.9,12.8,0.1,1.5,.053,.056,-5.5,-2.6,-0.1,-0.2
Jason Collins,10.7,9.9,3.0,4.7,.104,.119,-0.9,-0.6,0.4,0.7
Zach Randolph,16.9,19.9,0.5,4.8,.098,.177,-3.4,-1.1,-0.1,0.3
Brendan Haywood,13.7,13.5,3.1,5.0,.116,.125,0.6,-0.1,0.8,0.9
Joseph Forte,2.8,3.4,-0.1,-0.3,-0.144,-0.176,-9.9,-10.2,-0.1,-0.2
Jeryl Sasser,7.0,8.3,-0.1,0.8,-0.070,.036,-7.8,-2.7,-0.1,-0.2
Brandon Armstrong,3.8,3.9,-0.2,-0.1,-0.054,-0.050,-8.7,-9.5,-0.3,-0.1
Gerald Wallace,13.3,12.5,0.6,0.9,.071,.074,-2.6,-3.3,-0.1,-0.2
Samuel Dalembert,13.2,16.1,0.3,6.9,.072,.151,-3.5,0.1,-0.1,1.2
Jamaal Tinsley,13.4,13.4,1.7,3.7,.033,.079,-0.5,-0.3,0.9,1.0
Mike Dunleavy,12.5,15.1,1.5,5.2,.055,.107,-1.3,1.8,0.2,2.2
Drew Gooden,15.0,13.8,1.7,0.4,.043,.015,-3.3,-3.6,-0.6,-0.5
Dajuan Wagner,10.9,8.6,0.3,-0.1,.011,-0.008,-5.2,-5.7,-1.1,-0.7
Chris Wilcox,12.5,15.3,0.6,2.6,.062,.094,-4.0,-2.1,-0.2,0.0
Caron Butler,15.1,10.7,5.1,2.1,.086,.050,1.7,-2.1,2.7,-0.1
Jared Jeffries,11.1,8.7,0.3,0.6,.049,.014,-2.4,-3.5,0.0,-0.7
Melvin Ely,10.8,11.1,0.8,0.4,.048,.039,-4.4,-3.7,-0.5,-0.2
Marcus Haislip,9.6,14.6,0.0,0.6,-0.003,.113,-7.2,-2.4,-0.6,0.0
Fred Jones,5.5,11.8,0.0,4.0,.019,.126,-3.7,-0.1,0.0,0.7
Juan Dixon,11.0,13.5,0.1,1.4,.005,.044,-4.7,-2.6,-0.4,-0.2
Curtis Borchardt,7.9,9.4,0.1,0.8,.026,.046,-3.2,-2.2,-0.1,0.0
Ryan Humphrey,4.1,2.9,-0.5,-0.5,-0.052,-0.071,-8.5,-9.1,-0.7,-0.6
Kareem Rush,5.8,10.4,-0.6,1.5,-0.033,.056,-7.2,-3.0,-1.1,-0.3
Qyntel Woods,11.2,9.4,0.2,-0.2,.034,-0.012,-5.0,-5.3,-0.3,-0.6
Casey Jacobsen,9.2,9.6,1.2,2.6,.051,.068,-2.7,-1.3,-0.2,0.3
Tayshaun Prince,11.7,13.3,0.8,7.5,.084,.134,-2.0,2.1,0.0,2.8
Frank Williams,6.4,10.7,-0.1,0.3,-0.035,.023,-5.9,-4.6,-0.2,-0.5
John Salmons,9.5,10.6,0.6,2.1,.058,.064,-3.0,-1.2,-0.1,0.3
Chris Jefferies,6.8,8.4,-0.5,0.0,-0.039,.000,-6.7,-5.0,-0.8,-0.1
