,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
339,Daniel Orton,6.82,2010,502.0,0.5329999999999999,0.527,0.022000000000000002,0.6920000000000001,0.135,38,3.8,7.3,0.527,3.8,7.1,0.539,0.0,0.2,0.0,2.6,5.0,0.524,10.0,1.2,1.7,4.2,3.0,7.0,10.3
340,Lazar Hayward,8.23,2010,1097.0,0.536,0.495,0.36200000000000004,0.247,0.198,34,8.1,18.7,0.43200000000000005,5.7,12.0,0.479,2.4,6.8,0.349,3.9,4.6,0.843,9.3,1.9,2.3,0.7,2.4,4.2,22.5
341,Kyrie Irving,8.31,2011,303.0,0.6970000000000001,0.615,0.375,0.6829999999999999,0.32,11,7.3,13.7,0.529,4.9,8.6,0.569,2.4,5.1,0.462,8.4,9.4,0.9009999999999999,4.9,6.2,2.1,0.8,3.6,3.0,25.3
342,Derrick Williams,7.99,2011,1141.0,0.69,0.65,0.195,0.871,0.27899999999999997,38,7.9,13.3,0.595,6.5,10.7,0.601,1.5,2.6,0.568,8.7,11.6,0.746,11.0,1.5,1.3,0.9,3.5,3.7,26.0
344,Brandon Knight,8.91,2011,1363.0,0.5529999999999999,0.508,0.45,0.33299999999999996,0.157,38,6.4,15.1,0.423,3.8,8.3,0.461,2.6,6.8,0.377,4.0,5.0,0.795,4.5,4.7,0.7,0.2,3.5,2.4,19.3
345,Kemba Walker,10.44,2011,1543.0,0.5429999999999999,0.478,0.307,0.426,0.251,41,8.2,19.2,0.428,6.2,13.3,0.47100000000000003,1.9,5.9,0.33,6.7,8.2,0.8190000000000001,5.8,4.8,2.0,0.2,2.4,1.5,25.0
346,Jimmer Fredette,5.76,2011,1323.0,0.594,0.5329999999999999,0.409,0.369,0.256,37,10.5,23.1,0.452,6.7,13.7,0.491,3.7,9.5,0.396,7.6,8.5,0.894,3.8,4.8,1.5,0.0,4.0,1.5,32.3
347,Klay Thompson,6.81,2011,1179.0,0.574,0.525,0.446,0.336,0.198,34,8.1,18.7,0.436,4.8,10.3,0.466,3.3,8.3,0.39799999999999996,5.3,6.3,0.838,6.0,4.3,1.9,1.1,3.9,3.4,24.9
348,Alec Burks,5.61,2011,1193.0,0.574,0.495,0.179,0.564,0.221,38,8.4,17.9,0.469,7.5,14.7,0.508,0.9,3.2,0.292,8.3,10.1,0.825,8.3,3.8,1.4,0.4,3.3,3.0,26.1
349,Markieff Morris,7.62,2011,926.0,0.642,0.627,0.17800000000000002,0.462,0.257,38,8.4,14.3,0.589,7.3,11.7,0.625,1.1,2.5,0.424,4.4,6.6,0.6729999999999999,13.7,2.3,1.3,1.9,3.4,4.7,22.4
