Andre Iguodala,3.0,.123,6.63,2004
Luke Jackson,5.5,.206,6.91,2004
Kris Humphries,3.5,.140,5.36,2004
Kirk Snyder,5.2,.193,5.82,2004
Jameer Nelson,6.6,.243,4.97,2004
Delonte West,7.0,.260,4.97,2004
Tony Allen,6.3,.228,7.23,2004
Kevin Martin,5.4,.254,-3.84,2004
David Harrison,5.4,.234,7.18,2004
Andrew Bogut,10.9,.358,4.54,2005
Marvin Williams,4.8,.239,10.66,2005
Deron Williams,4.6,.140,8.47,2005
Chris Paul,4.6,.171,10.27,2005
Raymond Felton,5.1,.179,10.66,2005
Charlie Villanueva,4.8,.240,7.62,2005
Channing Frye,7.4,.256,8.03,2005
Ike Diogu,8.4,.290,5.36,2005
Sean May,7.7,.311,10.66,2005
Rashad McCants,5.0,.232,10.66,2005
Antoine Wright,5.9,.225,5.19,2005
Joey Graham,5.8,.232,,2005
Danny Granger,7.6,.339,,2005
Hakim Warrick,7.5,.235,6.83,2005
Julius Hodge,5.1,.172,9.16,2005
Nate Robinson,4.9,.179,7.66,2005
Jarrett Jack,6.1,.222,9.78,2005
Francisco Garcia,7.5,.247,6.18,2005
Luther Head,7.2,.222,8.47,2005
Jason Maxiell,7.3,.283,6.74,2005
Linas Kleiza,3.0,.115,9.24,2005
Wayne Simien,5.7,.255,10.85,2005
David Lee,5.0,.225,7.12,2005
LaMarcus Aldridge,8.7,.278,6.99,2006
Adam Morrison,6.8,.225,5.02,2006
Tyrus Thomas,7.3,.351,8.77,2006
Shelden Williams,9.1,.305,8.77,2006
Brandon Roy,7.0,.269,5.96,2006
Randy Foye,5.7,.200,9.23,2006
Rudy Gay,5.2,.204,6.57,2006
Patrick O'Bryant,5.2,.327,5.38,2006
J.J. Redick,7.8,.233,8.77,2006
Hilton Armstrong,5.9,.249,6.57,2006
Ronnie Brewer,5.3,.190,6.17,2006
Cedric Simmons,4.6,.208,5.63,2006
Rodney Carney,5.5,.214,4.24,2006
Shawne Williams,5.3,.213,4.24,2006
Quincy Douby,7.8,.258,5.16,2006
Renaldo Balkman,5.6,.230,8.14,2006
Rajon Rondo,4.0,.150,8.88,2006
Marcus Williams,3.1,.162,6.57,2006
Josh Boone,4.4,.192,6.57,2006
Kyle Lowry,4.9,.204,9.23,2006
Shannon Brown,4.5,.151,7.27,2006
Jordan Farmar,3.9,.139,8.27,2006
Maurice Ager,4.5,.153,7.27,2006
Mardy Collins,4.8,.159,5.19,2006
Greg Oden,8.2,.355,9.03,2007
Kevin Durant,8.8,.280,6.12,2007
Al Horford,7.5,.283,7.33,2007
Mike Conley,6.1,.199,9.03,2007
Jeff Green,6.3,.204,9.48,2007
Corey Brewer,5.1,.192,7.33,2007
Brandan Wright,7.6,.301,9.30,2007
Joakim Noah,7.7,.296,7.33,2007
Spencer Hawes,4.4,.198,6.50,2007
Acie Law,5.9,.203,5.12,2007
Thaddeus Young,3.3,.145,9.36,2007
Julian Wright,6.6,.252,6.86,2007
Al Thornton,6.6,.241,8.63,2007
Rodney Stuckey,3.6,.149,-2.94,2007
Nick Young,5.8,.189,7.87,2007
Sean Williams,2.3,.194,9.21,2007
Javaris Crittenton,3.6,.145,9.36,2007
Jason Smith,4.7,.206,3.71,2007
Daequan Cook,3.5,.180,9.03,2007
Jared Dudley,5.8,.202,9.21,2007
Wilson Chandler,3.9,.145,8.53,2007
Morris Almond,7.1,.265,1.43,2007
Aaron Brooks,5.7,.178,6.30,2007
Arron Afflalo,5.5,.187,9.84,2007
Alando Tucker,5.9,.201,6.95,2007
Derrick Rose,6.6,.226,5.76,2008
Michael Beasley,10.7,.413,7.79,2008
O.J. Mayo,5.2,.172,8.59,2008
Russell Westbrook,5.3,.161,7.71,2008
Kevin Love,11.3,.391,7.71,2008
Eric Gordon,6.0,.217,6.08,2008
Joe Alexander,6.1,.213,7.16,2008
D.J. Augustin,6.0,.169,8.59,2008
Brook Lopez,5.4,.261,6.95,2008
Jerryd Bayless,4.8,.178,10.22,2008
Jason Thompson,6.9,.236,-3.72,2008
Brandon Rush,5.1,.180,8.20,2008
Anthony Randolph,3.5,.136,5.66,2008
Robin Lopez,5.9,.269,6.95,2008
Marreese Speights,6.8,.313,4.98,2008
Roy Hibbert,6.8,.305,7.23,2008
JaVale McGee,4.0,.179,-0.11,2008
J.J. Hickson,3.9,.175,9.06,2008
Ryan Anderson,5.5,.204,8.45,2008
Courtney Lee,6.9,.256,0.24,2008
Kosta Koufos,5.3,.211,7.97,2008
George Hill,7.8,.266,-2.41,2008
Darrell Arthur,5.8,.234,8.20,2008
Donte Greene,3.9,.124,7.96,2008
D.J. White,7.6,.275,6.08,2008
J.R. Giddens,7.2,.269,,2008
Blake Griffin,9.7,.332,6.88,2009
Hasheem Thabeet,9.4,.329,8.57,2009
James Harden,7.2,.229,7.82,2009
Tyreke Evans,7.2,.268,4.63,2009
Jonny Flynn,4.9,.137,9.48,2009
Stephen Curry,9.9,.348,-3.33,2009
Jordan Hill,5.1,.167,8.80,2009
DeMar DeRozan,4.1,.140,9.15,2009
Terrence Williams,6.2,.195,8.41,2009
Gerald Henderson,5.5,.201,9.07,2009
Tyler Hansbrough,6.7,.261,8.35,2009
Earl Clark,5.8,.184,8.41,2009
Austin Daye,5.7,.255,3.55,2009
James Johnson,5.3,.224,7.36,2009
Jrue Holiday,3.3,.138,7.18,2009
Ty Lawson,6.9,.263,8.35,2009
Jeff Teague,5.6,.227,7.36,2009
Eric Maynor,6.9,.230,-0.65,2009
Darren Collison,5.4,.196,7.18,2009
Byron Mullens,3.3,.198,8.23,2009
Taj Gibson,7.7,.260,9.15,2009
DeMarre Carroll,7.2,.271,,2009
